Configuration,Classifier,LoRA,Accuracy,Precision,Recall,F1-Score,Kappa,AUC,ConfusionMatrixAvgJSON,ConfusionMatricesPerFoldJSON
linear_cls_lora,linear,Yes,84.73 ± 1.70,83.60 ± 2.18,81.94 ± 2.57,82.37 ± 1.91,0.902 ± 0.009,0.962 ± 0.006,"[[622.25, 5.0, 16.5, 0.25], [22.25, 277.5, 91.25, 2.0], [10.0, 68.75, 722.25, 52.0], [2.75, 0.0, 53.25, 176.0]]","[{""fold"": 1, ""matrix"": [[628, 0, 16, 0], [26, 251, 115, 1], [8, 22, 781, 42], [7, 0, 52, 173]]}, {""fold"": 2, ""matrix"": [[639, 1, 4, 0], [40, 319, 32, 2], [20, 152, 638, 43], [4, 0, 43, 185]]}, {""fold"": 3, ""matrix"": [[619, 5, 19, 1], [16, 282, 91, 4], [6, 43, 737, 67], [0, 0, 39, 193]]}, {""fold"": 4, ""matrix"": [[603, 14, 27, 0], [7, 258, 127, 1], [6, 58, 733, 56], [0, 0, 79, 153]]}]"
linear_cls,linear,No,67.30 ± 0.61,65.39 ± 1.74,59.11 ± 1.50,60.31 ± 1.88,0.712 ± 0.008,0.878 ± 0.004,"[[574.5, 19.75, 49.25, 0.5], [86.25, 175.75, 129.5, 1.5], [81.75, 135.75, 604.25, 31.25], [14.75, 7.0, 136.75, 73.5]]","[{""fold"": 1, ""matrix"": [[585, 17, 42, 0], [103, 178, 108, 4], [95, 132, 602, 24], [12, 7, 130, 83]]}, {""fold"": 2, ""matrix"": [[583, 20, 41, 0], [93, 174, 126, 0], [85, 148, 588, 32], [17, 7, 133, 75]]}, {""fold"": 3, ""matrix"": [[563, 19, 62, 0], [66, 166, 159, 2], [71, 137, 610, 35], [12, 10, 119, 91]]}, {""fold"": 4, ""matrix"": [[567, 23, 52, 2], [83, 185, 125, 0], [76, 126, 617, 34], [18, 4, 165, 45]]}]"
